Data1 Data2 Data3
1.883480647000000063e+00 3.875117570000000011e+00 4.046193289999999720e+00
1.312959071999999949e+00 3.367212639999999979e+00 4.771775201000000521e+00
2.589253863999999794e+00 3.866412239999999834e+00 3.418179818000000036e+00
1.641472765999999917e+00 3.755194212999999781e+00 4.572647426999999709e+00
2.422465000999999951e+00 4.147751141999999724e+00 3.782856901999999799e+00
1.494561886999999922e+00 3.642329215000000175e+00 4.558895204999999784e+00
1.510371724999999943e+00 4.684419651000000684e+00 3.627637711000000209e+00
1.746669854000000077e+00 4.176616828000000226e+00 3.165181226000000070e+00
1.282184164000000015e+00 4.098618057000000370e+00 3.413674424999999957e+00
2.099894439999999918e+00 3.458423206000000416e+00 3.495301995000000161e+00
2.919380932999999789e+00 7.507233089999999498e-01 4.248369888000000039e+00
1.706533088999999892e+00 1.438539295999999856e+00 3.031813177000000081e+00
1.439288343999999942e+00 7.695564659999999391e-01 2.608861671000000104e+00
1.526917622999999891e+00 8.007214209999999888e-01 3.416807989000000045e+00
2.921774067999999946e+00 1.098448907999999946e+00 3.008453866000000421e+00
2.372428220999999837e+00 1.298791314000000030e+00 2.523080227999999980e+00
2.013716377999999807e+00 9.084542890000000259e-01 2.911935138000000034e+00
2.644137147999999993e+00 1.522509131999999932e+00 2.783507438000000000e+00
2.025778793000000189e+00 1.152399924000000020e+00 3.089659621000000023e+00
1.848756389999999916e+00 1.131718824000000012e+00 3.226585986999999989e+00
2.179125097000000011e+00 1.671594779000000086e+00 2.914793972000000011e+00
2.108230210999999965e+00 1.019140205000000021e+00 3.787144226000000113e+00
2.803608461000000052e+00 6.108789399999999814e-01 2.964883067999999788e+00
1.593004609000000071e+00 1.397797898000000094e+00 2.636090162999999986e+00
2.078913555999999829e+00 1.502221805000000021e+00 2.413441413000000146e+00
1.810871165000000005e+00 1.570411035999999871e+00 3.212593977000000045e+00
2.315709306000000023e+00 3.751268733999999938e+00 2.650123847999999782e+00
2.121808033000000204e+00 3.128054922000000015e+00 2.603899798000000043e+00
1.854708290000000037e+00 3.618590350999999927e+00 3.267325640999999781e+00
1.983046896000000059e+00 3.698338326000000009e+00 2.814138035000000038e+00
1.599856181000000044e+00 3.864092009000000161e+00 3.080804493000000033e+00
2.177428701999999827e+00 4.327266958000000052e+00 2.687619032999999824e+00
2.593849710999999836e+00 4.394073464999999956e+00 2.563807623999999841e+00
2.368770233999999864e+00 3.964918396999999928e+00 3.367828503999999779e+00
4.193770343999999817e+00 3.906641122999999993e+00 3.509088028000000303e+00
3.395131495000000221e+00 4.127402200000000576e+00 3.353576894999999780e+00
3.820004525999999956e+00 3.136699421999999959e+00 2.609165581000000067e+00
4.496002548999999959e+00 4.244502952000000384e+00 3.370166343999999814e+00
3.290231928999999944e+00 3.835527529999999796e+00 2.591376062999999785e+00
3.717616911999999996e+00 3.036501878999999793e+00 2.403542808000000086e+00
4.038853925999999817e+00 2.981660585000000196e+00 2.872467551000000174e+00
4.017371740999999830e+00 4.234670774999999665e+00 2.965145114999999887e+00
4.356433763000000070e+00 2.462437480000000178e+00 2.663195099999999815e+00
5.022234583000000363e+00 2.507857011000000025e+00 3.037823690999999826e+00
4.659462896999999160e+00 5.431858569999999942e-01 2.731557673999999825e+00
4.301618302999999699e+00 2.066914888999999977e+00 3.389977523999999853e+00
4.421849527000000002e+00 -6.419000599999999390e-02 3.184685932999999913e+00
1.747231600999999968e+00 1.010621734000000105e+00 2.470571291999999808e+00
9.066192410000000201e-01 1.612893640000000017e+00 3.462211437000000114e+00
2.376486409999999938e-01 2.809559315000000002e+00 4.812294338000000060e+00
4.365144490000000266e-01 3.053074805000000058e+00 2.942575966000000154e+00
1.253612141999999929e+00 2.773660377000000121e+00 4.205881083000000409e+00
1.291084724000000072e+00 3.277663632999999965e+00 4.461353627000000266e+00
-7.373305400000000620e-02 2.966320501999999859e+00 3.841513191999999854e+00
3.207583649999999897e-01 3.692199280000000083e+00 4.490681269999999614e+00
1.815525060000000024e-01 3.452016217999999803e+00 3.242462703000000168e+00
5.777194190000000118e-01 2.251128984000000166e+00 4.047980917000000289e+00
1.034030380000000027e-01 1.700333160999999871e+00 3.358561649999999954e+00
7.405752230000000047e-01 3.102810296000000356e+00 4.503567346999999721e+00
7.199533340000000559e-01 3.149377423999999870e+00 4.462910289999999947e+00
1.440563969000000055e+00 2.337203861999999965e+00 4.222111740999999974e+00
1.235801369000000038e+00 2.366226891999999804e+00 4.069550969999999879e+00
1.626243719000000088e+00 3.309222288999999595e+00 3.800939232999999806e+00
1.616081343999999920e+00 2.480778986999999880e+00 4.511134251000000539e+00
1.491145538999999909e+00 2.142934318000000005e+00 4.585017446000000163e+00
7.592110300000000089e-01 2.919437794999999891e+00 4.510062444999999975e+00
9.041070780000000084e-01 2.599242800999999936e+00 2.945660290999999820e+00
6.085553370000000850e-01 3.793804182000000136e+00 5.457042052000000254e+00
6.469419199999999481e-01 2.551039091999999897e+00 3.738369528000000219e+00
1.131455380000000038e-01 3.392569920000000128e+00 4.832137375000001178e+00
1.224364932000000072e+00 3.011505254999999881e+00 3.981436258000000006e+00
9.845242739999999770e-01 2.927460796000000087e+00 3.912788309999999825e+00
1.070007914000000060e+00 2.396010824000000206e+00 4.311133696000000626e+00
9.962316350000002263e-01 2.855509388999999842e+00 3.479908104999999807e+00
8.828633879999998602e-01 3.240942728999999911e+00 3.901020704000000006e+00
1.292806416999999986e+00 2.661808197000000042e+00 4.285150684000000432e+00
1.639972589000000092e+00 1.655116056999999863e+00 4.334211788000000176e+00
1.649662552999999976e+00 9.377933020000002173e-01 5.499125752999999506e+00
9.773687470000002042e-01 1.748915380999999991e+00 4.211360817000000090e+00
7.437549259999999274e-01 7.078586340000000421e-01 3.674389102000000129e+00
2.316968319999999915e-01 1.125488164000000069e+00 5.043863874000000358e+00
2.548613585000000015e+00 5.268855199999999961e-02 4.252249817000000043e+00
2.666111706000000137e+00 9.209433620000000431e-01 4.066308109999999587e+00
3.344627298999999887e+00 1.350120940000000269e-01 4.724327478999999386e+00
3.202452515000000055e+00 1.111542591999999940e+00 3.913727957999999951e+00
3.476431525999999828e+00 2.061369549000000134e+00 3.748880429000000181e+00
4.292737240000000121e+00 1.612980244999999924e+00 3.780696381999999911e+00
3.660671425999999951e+00 1.746580346000000006e+00 1.457069240999999904e+00
3.899497359999999802e+00 7.642445879999999470e-01 1.565420135999999962e+00
3.133377620000000086e+00 8.900982120000000553e-01 1.303384716999999915e+00
3.377035486000000031e+00 1.866525264999999933e+00 2.016922665000000059e+00
2.376520288000000036e+00 3.156380730000000190e-01 7.987237339999999630e-01
4.231539886000000195e+00 7.372709549999999501e-01 1.126851665000000002e+00
4.827315119999999737e-01 1.448018934000000035e+00 9.089806470000000305e-01
9.821770239999999541e-01 1.010655949999999942e-01 4.838807960000000019e-01
1.174986780000000008e+00 6.401265059999999840e-01 1.783314005999999896e+00
1.634196940000000042e+00 1.040566416999999966e+00 8.879620299999998467e-01
1.217566195999999934e+00 5.846059740000000282e-01 5.930318650000000469e-01
1.258266522000000220e+00 5.550062190000000228e-01 4.164853250000000173e-01
6.727699369999999846e-01 -1.695330989999999927e-01 2.160045758000000315e+00
1.168351912000000103e+00 4.798980400000000257e-01 1.580341712999999926e+00
1.004409099999999944e+00 4.242585442000000207e+00 7.551666139999999583e-01
1.584844541999999912e+00 4.148156564999999851e+00 1.477936581999999888e+00
7.464235199999998127e-02 4.438751375999999915e+00 9.403228169999997554e-01
1.109181132999999875e+00 4.341275773999999643e+00 3.857505849999999792e-01
7.722278830000000038e-01 4.361659966999999583e+00 2.099093320000000040e-01
1.421779541000000036e+00 3.694017876999999839e+00 9.070878980000000036e-01
7.366197349999999977e-01 4.183222852000000103e+00 7.910930409999999968e-01
1.959703552999999987e+00 3.486981877999999924e+00 7.311981850000000005e-01
2.720065839999999957e-01 3.407846876999999886e+00 1.839284530999999889e+00
8.525710159999998483e-01 4.206290867999999961e+00 6.960404929999999268e-01
3.972890029999999739e-01 3.336459505000000103e+00 7.765748799999998564e-01
1.168427257999999913e+00 4.230139417000000179e+00 1.050842928000000009e+00
1.567898709999999918e+00 4.246520989999999607e+00 1.602238330999999905e+00
6.718611459999999092e-01 3.192442594000000078e+00 1.735119341999999953e+00
8.499175850000000310e-01 4.152000982999999756e+00 8.737871889999999642e-01
1.687694985000000036e+00 4.524465528000000347e+00 5.866506630000000166e-01
1.904548600000000036e-01 4.318999222000000415e+00 3.622150299999999934e+00
6.508053379999999555e-01 3.938576015999999846e+00 3.473105873000000177e+00
1.396362149000000219e+00 3.770547006999999784e+00 2.883609432000000083e+00
7.827449170000000400e-01 2.863959471999999895e+00 2.752523717999999953e+00
1.039966235999999933e+00 4.379965515000000309e+00 5.532682140000000359e-01
1.827476056999999932e+00 4.646210334000000053e+00 1.814304399000000068e+00
1.717623138000000216e+00 2.674029721000000137e+00 9.267010599999999654e-01
1.475668444999999940e+00 2.908480507000000159e+00 6.626194010000000523e-01
4.121220829999999724e-01 3.109068796999999940e+00 8.731925200000000276e-01
1.245705571000000011e+00 2.779964150000000078e+00 1.243322390999999971e+00
3.425271610000000244e-01 3.392387618000000327e+00 8.738472320000000293e-01
8.431617719999998650e-01 3.133336925000000051e+00 1.189169785999999895e+00
8.743967969999999479e-01 2.088314283999999965e+00 1.154849287000000002e+00
-7.755676699999999868e-02 2.608333539999999839e+00 6.305517189999999550e-01
3.231872230000000235e-01 2.957899838999999975e+00 4.971951399999999799e-01
1.676263571999999868e+00 3.330988851000000306e+00 1.034007085999999909e+00
4.793369060000000070e-01 2.973203541000000172e+00 4.579204009999999769e-01
4.429215000000000235e-01 3.247702433000000166e+00 1.371449973000000044e+00
1.275917479999999937e+00 2.729917074999999915e+00 1.115223370000000130e-01
1.093623350999999966e+00 2.452444589999999813e+00 6.937339159999998950e-01
7.908119249999998601e-01 2.559256516000000037e+00 6.710823900000000286e-01
1.578576304000000041e+00 3.474380759999999846e+00 4.630761959999999955e-01
1.049251618000000219e+00 2.199974248000000188e+00 3.997511069999999944e-01
9.152933230000002141e-01 2.256806581000000200e+00 6.364437880000000103e-01
1.177247125999999922e+00 2.340501994999999891e+00 5.071547010000000411e-01
1.325705294000000034e+00 2.730599005000000190e+00 1.789237899999999992e-01
1.306364021999999903e+00 3.872864255000000089e+00 6.506029359999999651e-01
7.098831079999999849e-01 2.318163205999999921e+00 9.097898599999999780e-02
1.547415374000000066e+00 3.076853788000000200e+00 5.077886179999999694e-01
5.897878589999999699e-01 2.267849754000000218e+00 3.237269420000000175e-01
1.990545774000000101e+00 2.549532611000000060e+00 6.946819679999999275e-01
1.183846171999999974e+00 1.411676420999999904e+00 5.446475960000000116e-01
3.869847829999999989e-01 2.586380678999999905e+00 1.591455805000000057e+00
1.021697649999999902e+00 9.393635769999998386e-01 1.252482346999999940e+00
1.099113102000000008e+00 2.028662497000000009e+00 1.229815322000000100e+00
1.525524080000000005e-01 1.195311454999999912e+00 1.382626539999999959e+00
